target,target_end_date,location,type,quantile,value,forecast_date,scenario_id
1 wk ahead inc case,2021-09-25,DE,quantile,0.01,44927,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.025,47500,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.05,49831,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.1,52660,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.15,54659,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.2,56302,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.25,57750,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.3,59083,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.35,60345,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.4,61568,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.45,62774,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.5,63985,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.55,65219,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.6,66497,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.65,67844,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.7,69294,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.75,70893,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.8,72717,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.85,74902,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.9,77746,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.95,82160,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.975,86191,2021-09-20,forecast
1 wk ahead inc case,2021-09-25,DE,quantile,0.99,91127,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.01,345,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.025,354,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.05,363,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.1,373,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.15,379,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.2,385,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.25,390,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.3,394,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.35,398,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.4,402,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.45,406,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.5,410,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.55,414,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.6,417,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.65,422,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.7,426,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.75,431,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.8,436,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.85,442,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.9,450,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.95,463,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.975,474,2021-09-20,forecast
1 wk ahead inc death,2021-09-25,DE,quantile,0.99,487,2021-09-20,forecast
2 wk ahead inc case,2021-10-02,DE,quantile,0.01,38443,2021-09-20,forecast
2 wk ahead inc case,2021-10-02,DE,quantile,0.025,41655,2021-09-20,forecast
2 wk ahead inc case,2021-10-02,DE,quantile,0.05,44631,2021-09-20,forecast
2 wk ahead inc case,2021-10-02,DE,quantile,0.1,48327,2021-09-20,forecast
2 wk ahead inc case,2021-10-02,DE,quantile,0.15,50992,2021-09-20,forecast
2 wk ahead inc case,2021-10-02,DE,quantile,0.2,53215,2021-09-20,forecast
2 wk ahead inc case,2021-10-02,DE,quantile,0.25,55198,2021-09-20,forecast
2 wk ahead inc case,2021-10-02,DE,quantile,0.3,57043,2021-09-20,forecast
2 wk ahead inc case,2021-10-02,DE,quantile,0.35,58807,2021-09-20,forecast
2 wk ahead inc case,2021-10-02,DE,quantile,0.4,60532,2021-09-20,forecast
2 wk ahead inc case,2021-10-02,DE,quantile,0.45,62248,2021-09-20,forecast
2 wk ahead inc case,2021-10-02,DE,quantile,0.5,63985,2021-09-20,forecast
2 wk ahead inc case,2021-10-02,DE,quantile,0.55,65770,2021-09-20,forecast
2 wk ahead inc case,2021-10-02,DE,quantile,0.6,67635,2021-09-20,forecast
2 wk ahead inc case,2021-10-02,DE,quantile,0.65,69619,2021-09-20,forecast
2 wk ahead inc case,2021-10-02,DE,quantile,0.7,71772,2021-09-20,forecast
2 wk ahead inc case,2021-10-02,DE,quantile,0.75,74170,2021-09-20,forecast
2 wk ahead inc case,2021-10-02,DE,quantile,0.8,76935,2021-09-20,forecast
2 wk ahead inc case,2021-10-02,DE,quantile,0.85,80289,2021-09-20,forecast
