"location","forecast_date","target_end_date","target","type","quantile","value"
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","point",NA,38189
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.01,20811
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.025,22629
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.05,24621
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.1,26803
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.15,28173
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.2,29623
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.25,31158
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.3,32782
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.35,34044
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.4,35365
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.45,36749
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.5,38189
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.55,39717
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.6,41308
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.65,42976
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.7,44723
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.75,47198
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.8,49823
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.85,52610
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.9,55567
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.95,60959
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.975,66905
"AT",2022-05-01,2022-05-07,"1 wk ahead inc case","quantile",0.99,73465
"AT",2022-05-01,2022-05-14,"2 wk ahead inc case","point",NA,34611
"AT",2022-05-01,2022-05-14,"2 wk ahead inc case","quantile",0.01,12766
"AT",2022-05-01,2022-05-14,"2 wk ahead inc case","quantile",0.025,14499
"AT",2022-05-01,2022-05-14,"2 wk ahead inc case","quantile",0.05,16470
"AT",2022-05-01,2022-05-14,"2 wk ahead inc case","quantile",0.1,18710
"AT",2022-05-01,2022-05-14,"2 wk ahead inc case","quantile",0.15,20324
"AT",2022-05-01,2022-05-14,"2 wk ahead inc case","quantile",0.2,22079
"AT",2022-05-01,2022-05-14,"2 wk ahead inc case","quantile",0.25,23987
