"location","forecast_date","target_end_date","target","type","quantile","value"
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","point",NA,58080
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.01,32068
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.025,34821
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.05,37832
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.1,41126
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.15,43182
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.2,45355
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.25,47652
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.3,50081
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.35,51949
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.4,53904
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.45,55949
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.5,58080
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.55,60330
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.6,62675
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.65,65130
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.7,67701
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.75,71361
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.8,75241
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.85,79353
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.9,83713
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.95,91681
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.975,100455
"AT",2022-04-17,2022-04-23,"1 wk ahead inc case","quantile",0.99,110120
"AT",2022-04-17,2022-04-30,"2 wk ahead inc case","point",NA,45990
"AT",2022-04-17,2022-04-30,"2 wk ahead inc case","quantile",0.01,17393
"AT",2022-04-17,2022-04-30,"2 wk ahead inc case","quantile",0.025,19705
"AT",2022-04-17,2022-04-30,"2 wk ahead inc case","quantile",0.05,22327
"AT",2022-04-17,2022-04-30,"2 wk ahead inc case","quantile",0.1,25301
"AT",2022-04-17,2022-04-30,"2 wk ahead inc case","quantile",0.15,27427
"AT",2022-04-17,2022-04-30,"2 wk ahead inc case","quantile",0.2,29733
"AT",2022-04-17,2022-04-30,"2 wk ahead inc case","quantile",0.25,32236
"AT",2022-04-17,2022-04-30,"2 wk ahead inc case","quantile",0.3,34951
"AT",2022-04-17,2022-04-30,"2 wk ahead inc case","quantile",0.35,37448
"AT",2022-04-17,2022-04-30,"2 wk ahead inc case","quantile",0.4,40127
"AT",2022-04-17,2022-04-30,"2 wk ahead inc case","quantile",0.45,43000
"AT",2022-04-17,2022-04-30,"2 wk ahead inc case","quantile",0.5,45990
"AT",2022-04-17,2022-04-30,"2 wk ahead inc case","quantile",0.55,49390
"AT",2022-04-17,2022-04-30,"2 wk ahead inc case","quantile",0.6,52938
"AT",2022-04-17,2022-04-30,"2 wk ahead inc case","quantile",0.65,56745
