"location","forecast_date","target_end_date","target","type","quantile","value","scenario_id"
"AT",2021-12-13,2021-12-19,"1 wk ahead inc case","point",NA,18659,"forecast"
"AT",2021-12-13,2021-12-26,"2 wk ahead inc case","point",NA,14609,"forecast"
"AT",2021-12-13,2022-01-02,"3 wk ahead inc case","point",NA,14692,"forecast"
"AT",2021-12-13,2022-01-09,"4 wk ahead inc case","point",NA,17937,"forecast"
"AT",2021-12-13,2022-01-16,"5 wk ahead inc case","point",NA,21155,"forecast"
"AT",2021-12-13,2022-01-23,"6 wk ahead inc case","point",NA,25054,"forecast"
"AT",2021-12-13,2022-01-30,"7 wk ahead inc case","point",NA,29657,"forecast"
"AT",2021-12-13,2022-02-06,"8 wk ahead inc case","point",NA,35081,"forecast"
"AT",2021-12-13,2022-02-13,"9 wk ahead inc case","point",NA,41464,"forecast"
"AT",2021-12-13,2022-02-20,"10 wk ahead inc case","point",NA,48959,"forecast"
"AT",2021-12-13,2022-02-27,"11 wk ahead inc case","point",NA,57737,"forecast"
"AT",2021-12-13,2022-03-06,"12 wk ahead inc case","point",NA,67985,"forecast"
"AT",2021-12-13,2022-03-13,"13 wk ahead inc case","point",NA,79899,"forecast"
"AT",2021-12-13,2022-03-20,"14 wk ahead inc case","point",NA,93672,"forecast"
"AT",2021-12-13,2022-03-27,"15 wk ahead inc case","point",NA,102657,"forecast"
"AT",2021-12-13,2022-04-03,"16 wk ahead inc case","point",NA,95132,"forecast"
"AT",2021-12-13,2022-04-10,"17 wk ahead inc case","point",NA,76543,"forecast"
"AT",2021-12-13,2022-04-17,"18 wk ahead inc case","point",NA,54803,"forecast"
"AT",2021-12-13,2022-04-24,"19 wk ahead inc case","point",NA,38207,"forecast"
"AT",2021-12-13,2021-12-19,"1 wk ahead inc death","point",NA,123,"forecast"
"AT",2021-12-13,2021-12-26,"2 wk ahead inc death","point",NA,98,"forecast"
"AT",2021-12-13,2022-01-02,"3 wk ahead inc death","point",NA,71,"forecast"
"AT",2021-12-13,2022-01-09,"4 wk ahead inc death","point",NA,51,"forecast"
"AT",2021-12-13,2022-01-16,"5 wk ahead inc death","point",NA,42,"forecast"
"AT",2021-12-13,2022-01-23,"6 wk ahead inc death","point",NA,42,"forecast"
"AT",2021-12-13,2022-01-30,"7 wk ahead inc death","point",NA,49,"forecast"
