"location","forecast_date","target_end_date","target","type","quantile","value"
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","point",NA,316296
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.01,174699
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.025,189824
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.05,206360
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.1,224444
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.15,235683
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.2,247548
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.25,260078
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.3,273312
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.35,283337
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.4,293801
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.45,304724
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.5,316127
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.55,328034
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.6,340466
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.65,353450
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.7,367010
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.75,386176
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.8,406428
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.85,427828
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.9,450446
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.95,491628
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.975,536752
"AT",2022-03-20,2022-03-26,"1 wk ahead inc case","quantile",0.99,586208
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","point",NA,302108
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.01,128028
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.025,143721
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.05,161346
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.1,181142
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.15,194559
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.2,208973
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.25,224461
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.3,241101
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.35,254789
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.4,269257
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.45,284549
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.5,300712
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.55,317796
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.6,335853
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.65,354939
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.7,375112
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.75,400113
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.8,426780
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.85,455225
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.9,485566
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.95,536480
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.975,592739
"AT",2022-03-20,2022-04-02,"2 wk ahead inc case","quantile",0.99,654904
"AT",2022-03-20,2022-04-09,"3 wk ahead inc case","point",NA,270941
"AT",2022-03-20,2022-04-09,"3 wk ahead inc case","quantile",0.01,102630
"AT",2022-03-20,2022-04-09,"3 wk ahead inc case","quantile",0.025,117448
"AT",2022-03-20,2022-04-09,"3 wk ahead inc case","quantile",0.05,134406
"AT",2022-03-20,2022-04-09,"3 wk ahead inc case","quantile",0.1,153816
"AT",2022-03-20,2022-04-09,"3 wk ahead inc case","quantile",0.15,166835
"AT",2022-03-20,2022-04-09,"3 wk ahead inc case","quantile",0.2,180957
"AT",2022-03-20,2022-04-09,"3 wk ahead inc case","quantile",0.25,196275
"AT",2022-03-20,2022-04-09,"3 wk ahead inc case","quantile",0.3,212890
"AT",2022-03-20,2022-04-09,"3 wk ahead inc case","quantile",0.35,225049
"AT",2022-03-20,2022-04-09,"3 wk ahead inc case","quantile",0.4,237903
"AT",2022-03-20,2022-04-09,"3 wk ahead inc case","quantile",0.45,251493
"AT",2022-03-20,2022-04-09,"3 wk ahead inc case","quantile",0.5,265862
"AT",2022-03-20,2022-04-09,"3 wk ahead inc case","quantile",0.55,281052
