"location","forecast_date","target_end_date","target","type","quantile","value"
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","point",NA,220582
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.01,122419
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.025,132914
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.05,144384
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.1,156924
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.15,164709
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.2,172929
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.25,181609
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.3,190779
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.35,197736
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.4,205001
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.45,212589
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.5,220582
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.55,228795
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.6,237447
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.65,246487
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.7,255934
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.75,269350
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.8,283536
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.85,298537
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.9,314404
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.95,343363
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.975,375131
"AT",2022-03-27,2022-04-02,"1 wk ahead inc case","quantile",0.99,409991
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","point",NA,190575
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.01,77552
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.025,87329
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.05,98347
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.1,110763
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.15,119358
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.2,128625
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.25,138617
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.3,149390
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.35,158681
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.4,168553
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.45,179046
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.5,190575
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.55,202047
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.6,214643
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.65,228030
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.7,242259
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.75,260346
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.8,279788
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.85,300687
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.9,323151
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.95,361502
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.975,404408
"AT",2022-03-27,2022-04-09,"2 wk ahead inc case","quantile",0.99,452412
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","point",NA,175997
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.01,57380
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.025,66478
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.05,77022
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.1,89243
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.15,97996
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.2,107609
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.25,118168
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.3,129765
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.35,139648
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.4,150284
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.45,161731
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.5,175997
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.55,187311
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.6,201582
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.65,216940
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.7,233471
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.75,252084
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.8,272181
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.85,293882
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.9,317312
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.95,353710
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.975,394292
"AT",2022-03-27,2022-04-16,"3 wk ahead inc case","quantile",0.99,439541
"AT",2022-03-27,2022-04-23,"4 wk ahead inc case","point",NA,173721
"AT",2022-03-27,2022-04-23,"4 wk ahead inc case","quantile",0.01,48830
"AT",2022-03-27,2022-04-23,"4 wk ahead inc case","quantile",0.025,57909
"AT",2022-03-27,2022-04-23,"4 wk ahead inc case","quantile",0.05,68679
"AT",2022-03-27,2022-04-23,"4 wk ahead inc case","quantile",0.1,81454
"AT",2022-03-27,2022-04-23,"4 wk ahead inc case","quantile",0.15,90606
"AT",2022-03-27,2022-04-23,"4 wk ahead inc case","quantile",0.2,100787
"AT",2022-03-27,2022-04-23,"4 wk ahead inc case","quantile",0.25,112113
"AT",2022-03-27,2022-04-23,"4 wk ahead inc case","quantile",0.3,124712
"AT",2022-03-27,2022-04-23,"4 wk ahead inc case","quantile",0.35,134580
"AT",2022-03-27,2022-04-23,"4 wk ahead inc case","quantile",0.4,145228
"AT",2022-03-27,2022-04-23,"4 wk ahead inc case","quantile",0.45,156719
"AT",2022-03-27,2022-04-23,"4 wk ahead inc case","quantile",0.5,173721
"AT",2022-03-27,2022-04-23,"4 wk ahead inc case","quantile",0.55,182501
"AT",2022-03-27,2022-04-23,"4 wk ahead inc case","quantile",0.6,196941
"AT",2022-03-27,2022-04-23,"4 wk ahead inc case","quantile",0.65,212524
"AT",2022-03-27,2022-04-23,"4 wk ahead inc case","quantile",0.7,229340
"AT",2022-03-27,2022-04-23,"4 wk ahead inc case","quantile",0.75,245063
