reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2023-10-14,-1,wk inc flu hosp,2023-10-07,53,quantile,0.01,3
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,06,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,04,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,25,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,55,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,48,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,31,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,49,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,41,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.01,99.7
2023-10-14,-1,wk inc flu hosp,2023-10-07,36,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,44,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.01,1.2
2023-10-14,-1,wk inc flu hosp,2023-10-07,33,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,37,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,34,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,08,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,24,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,32,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,47,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,18,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,21,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,27,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,40,quantile,0.01,1.1
2023-10-14,-1,wk inc flu hosp,2023-10-07,42,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,45,quantile,0.01,0.1
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,20,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,29,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,50,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,51,quantile,0.01,14.1
2023-10-14,-1,wk inc flu hosp,2023-10-07,09,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,19,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,22,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,39,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,26,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,46,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,05,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,10,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,28,quantile,0.01,0.3
2023-10-14,-1,wk inc flu hosp,2023-10-07,35,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,38,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,56,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,02,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,23,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,01,quantile,0.01,1.1
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,30,quantile,0.01,0
2023-10-14,-1,wk inc flu hosp,2023-10-07,72,quantile,0.01,28.6
2023-10-14,-1,wk inc flu hosp,2023-10-07,54,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,53,quantile,0.01,1.7
2023-10-14,0,wk inc flu hosp,2023-10-14,17,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,06,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,04,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,25,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,55,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,48,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,31,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,49,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,41,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,12,quantile,0.01,75.4
2023-10-14,0,wk inc flu hosp,2023-10-14,36,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,44,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,13,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,33,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,37,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,34,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,08,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,24,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,32,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,47,quantile,0.01,8.5
2023-10-14,0,wk inc flu hosp,2023-10-14,15,quantile,0.01,0.5
2023-10-14,0,wk inc flu hosp,2023-10-14,18,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,21,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,27,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,40,quantile,0.01,1.7
2023-10-14,0,wk inc flu hosp,2023-10-14,42,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,45,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,11,quantile,0.01,0
2023-10-14,0,wk inc flu hosp,2023-10-14,20,quantile,0.01,0
