location_name,location,indicator,date,value,source,snapshot_date
Belgium,BE,Weekly new hospital admissions,2020-03-21,1291,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-03-22,1499,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-03-23,1679,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-03-24,1974,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-03-25,2338,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-03-26,2619,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-03-27,2912,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-03-28,3232,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-03-29,3499,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-03-30,3717,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-03-31,3847,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-01,3903,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-02,3981,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-03,3896,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-04,3756,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-05,3571,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-06,3409,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-07,3334,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-08,3199,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-09,3094,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-10,3023,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-11,2913,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-12,2830,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-13,2750,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-14,2528,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-15,2381,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-16,2227,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-17,2102,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-18,1975,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-19,1925,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-20,1865,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-21,1874,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-22,1773,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-23,1664,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-24,1579,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-25,1517,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-26,1420,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-27,1365,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-28,1268,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-29,1237,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-04-30,1186,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-01,1099,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-02,978,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-03,910,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-04,873,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-05,831,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-06,747,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-07,716,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-08,661,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-09,664,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-10,664,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-11,620,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-12,571,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-13,553,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-14,497,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-15,483,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-16,460,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-17,443,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-18,447,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-19,432,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-20,426,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-21,423,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-22,395,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-23,389,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-24,375,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-25,362,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-26,342,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-27,318,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-28,283,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-29,274,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-30,260,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-05-31,255,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-06-01,245,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-06-02,242,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-06-03,211,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-06-04,217,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-06-05,219,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-06-06,200,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-06-07,198,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-06-08,187,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-06-09,175,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-06-10,173,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-06-11,172,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-06-12,167,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-06-13,155,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-06-14,147,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-06-15,141,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-06-16,144,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-06-17,143,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-06-18,131,OWID,2022-07-18
Belgium,BE,Weekly new hospital admissions,2020-06-19,127,OWID,2022-07-18
