"date","location","location_name","inc_case","inc_death"
2020-01-05,"AUT","Austria",0,0
2020-01-05,"BEL","Belgium",0,0
2020-01-05,"CHE","Switzerland",0,0
2020-01-05,"CZE","Czechia",0,0
2020-01-05,"DEU","Germany",0,0
2020-01-05,"DNK","Denmark",0,0
2020-01-05,"ESP","Spain",0,0
2020-01-05,"EST","Estonia",0,0
2020-01-05,"FIN","Finland",0,0
2020-01-05,"FRA","France",0,0
2020-01-05,"GBR","United Kingdom",0,0
2020-01-05,"GRC","Greece",0,0
2020-01-05,"HRV","Croatia",0,0
2020-01-05,"IRL","Ireland",0,0
2020-01-05,"ISL","Iceland",0,0
2020-01-05,"ITA","Italy",0,0
2020-01-05,"LTU","Lithuania",0,0
2020-01-05,"LUX","Luxembourg",0,0
2020-01-05,"NLD","Netherlands",0,0
2020-01-05,"NOR","Norway",0,0
2020-01-05,"ROU","Romania",0,0
2020-01-05,"SWE","Sweden",0,0
2020-01-12,"AUT","Austria",0,0
2020-01-12,"BEL","Belgium",0,0
2020-01-12,"CHE","Switzerland",0,0
2020-01-12,"CZE","Czechia",0,0
2020-01-12,"DEU","Germany",0,0
2020-01-12,"DNK","Denmark",0,0
2020-01-12,"ESP","Spain",0,0
2020-01-12,"EST","Estonia",0,0
2020-01-12,"FIN","Finland",0,0
2020-01-12,"FRA","France",0,0
2020-01-12,"GBR","United Kingdom",0,0
2020-01-12,"GRC","Greece",0,0
2020-01-12,"HRV","Croatia",0,0
2020-01-12,"IRL","Ireland",0,0
2020-01-12,"ISL","Iceland",0,0
2020-01-12,"ITA","Italy",0,0
2020-01-12,"LTU","Lithuania",0,0
2020-01-12,"LUX","Luxembourg",0,0
2020-01-12,"NLD","Netherlands",0,0
2020-01-12,"NOR","Norway",0,0
2020-01-12,"ROU","Romania",0,0
2020-01-12,"SWE","Sweden",0,0
2020-01-19,"AUT","Austria",0,0
2020-01-19,"BEL","Belgium",0,0
2020-01-19,"CHE","Switzerland",0,0
2020-01-19,"CZE","Czechia",0,0
2020-01-19,"DEU","Germany",0,0
2020-01-19,"DNK","Denmark",0,0
2020-01-19,"ESP","Spain",0,0
2020-01-19,"EST","Estonia",0,0
2020-01-19,"FIN","Finland",0,0
2020-01-19,"FRA","France",0,0
2020-01-19,"GBR","United Kingdom",0,0
2020-01-19,"GRC","Greece",0,0
2020-01-19,"HRV","Croatia",0,0
2020-01-19,"IRL","Ireland",0,0
2020-01-19,"ISL","Iceland",0,0
2020-01-19,"ITA","Italy",0,0
2020-01-19,"LTU","Lithuania",0,0
2020-01-19,"LUX","Luxembourg",0,0
2020-01-19,"NLD","Netherlands",0,0
2020-01-19,"NOR","Norway",0,0
2020-01-19,"ROU","Romania",0,0
2020-01-19,"SWE","Sweden",0,0
2020-01-26,"AUT","Austria",0,0
2020-01-26,"BEL","Belgium",0,0
2020-01-26,"CHE","Switzerland",0,0
2020-01-26,"CZE","Czechia",0,0
2020-01-26,"DEU","Germany",0,0
2020-01-26,"DNK","Denmark",0,0
2020-01-26,"ESP","Spain",0,0
2020-01-26,"EST","Estonia",0,0
2020-01-26,"FIN","Finland",0,0
2020-01-26,"FRA","France",3,0
2020-01-26,"GBR","United Kingdom",0,0
2020-01-26,"GRC","Greece",0,0
2020-01-26,"HRV","Croatia",0,0
2020-01-26,"IRL","Ireland",0,0
2020-01-26,"ISL","Iceland",0,0
2020-01-26,"ITA","Italy",0,0
2020-01-26,"LTU","Lithuania",0,0
