"target","target_end_date","location","type","quantile","value","forecast_date","scenario_id"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.01,1998.66826707577,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.025,2087.82101123721,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.05,2167.26798824137,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.1,2262.20798313646,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.15,2328.3778254074,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.2,2382.23044594208,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.25,2429.34918470344,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.3,2472.40397547952,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.35,2512.94039557938,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.4,2551.98633582274,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.45,2590.3126906106,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.5,2628.56857142857,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.55,2667.36735581132,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.6,2707.35776231074,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.65,2749.30273309812,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.7,2794.19276042795,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.75,2843.44301010682,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.8,2899.29373542474,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.85,2965.77015336927,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.9,3051.58124467117,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.95,3183.39454458751,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.975,3302.41256263302,"2021-02-22","forecast"
"1 wk ahead inc death","2021-02-27","DE","quantile",0.99,3446.57191001782,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.01,1552.29662990208,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.025,1656.42282989422,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.05,1750.39251757561,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.1,1864.15351820109,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.15,1944.38846065563,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.2,2010.26369098863,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.25,2068.3258010207,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.3,2121.7262898022,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.35,2172.30538366764,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.4,2221.30169807948,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.45,2269.65920515275,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.5,2318.18857142857,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.55,2367.67249237267,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.6,2418.95607208697,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.65,2473.05102364882,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.7,2531.28930045922,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.75,2595.59410236473,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.8,2669.03452499573,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.85,2757.16192033951,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.9,2872.06525933906,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.95,3051.06292925538,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.975,3215.26227362702,"2021-02-22","forecast"
"2 wk ahead inc death","2021-03-06","DE","quantile",0.99,3417.3891130293,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.01,1220.0654924572,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.025,1331.40157260276,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.05,1432.89915940684,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.1,1557.09915199135,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.15,1645.5833768232,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.2,1718.78562652724,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.25,1783.72259392682,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.3,1843.79220509802,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.35,1900.9948530564,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.4,1956.69261636817,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.45,2011.93972798661,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.5,2067.65857142857,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.55,2124.75752685377,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.6,2184.23578019001,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.65,2247.30831202473,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.7,2315.59428794109,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.75,2391.45335161238,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.8,2478.678486087,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.85,2584.17343019354,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.9,2723.06781655066,"2021-02-22","forecast"
"3 wk ahead inc death","2021-03-13","DE","quantile",0.95,2942.4508264971,"2021-02-22","forecast"
